Temperature,Experimental Group,Use Case,Sentence,Objective,Pattern,Accuracy,Min,Max,Precision,Count
UCR26a,control,UC1-Health,1.0,ia,2.0,0.7175787647565206,0.7027596235275269,0.868488609790802,0.9582194840244125,15
UCR26a,control,UC1-Health,2.0,ay,2.0,0.8429561853408813,0.8429561853408813,0.8429561853408813,,1
UCR26a,control,UC1-Health,2.0,ia,2.0,0.590071361640404,0.5402845144271851,0.6461326479911804,0.9499862831068562,29
UCR26a,control,UC1-Health,3.0,ay,1.0,0.9665565490722656,0.9665565490722656,0.9665565490722656,1.0,15
UCR26a,control,UC1-Health,3.0,c,1.0,0.975000873208046,0.974605917930603,0.9751325249671936,0.9997562283104214,8
UCR26a,control,UC1-Health,3.0,i,2.0,0.7022463764463153,0.6942328214645386,0.7087501287460327,0.9928345018622983,14
UCR26a,control,UC1-Health,3.0,pr,1.0,0.8752074241638184,0.8752074241638184,0.8752074241638184,1.0,2
UCR26a,control,UC1-Health,4.0,ay,1.0,0.9761541247367859,0.9724218845367432,0.9805954098701477,0.9965358784826288,5
UCR26a,control,UC1-Health,5.0,ay,1.0,0.9205711881319681,0.9063571691513062,0.9331826567649841,0.9939977908606814,15
UCR26a,control,UC1-Health,5.0,c,1.0,0.9367930889129639,0.9367930889129639,0.9367930889129639,,1
UCR26a,control,UC1-Health,5.0,i,2.0,0.7945977399746577,0.6190080642700195,0.8510828614234924,0.9306922171235191,24
UCR26a,control,UC1-Health,6.0,ay,1.0,0.9312589509146554,0.9304131269454956,0.9380829930305481,0.997915383405221,14
UCR26a,control,UC1-Health,6.0,i,2.0,0.8165608644485474,0.8165608644485474,0.8165608644485474,1.0,2
UCR26a,control,UC1-Health,7.0,ay,1.0,0.9228282451629639,0.9157054424285889,0.9251714944839478,0.9963102562456225,15
UCR26a,control,UC1-Health,7.0,i,2.0,0.7781899213790894,0.6999713182449341,0.9138004779815674,0.9228423460215105,75
UCR26a,control,UC1-Health,8.0,ay,1.0,0.9600383996963501,0.960016131401062,0.9603501558303833,0.9999137552632008,15
UCR26a,control,UC1-Health,8.0,c,1.0,0.998067632317543,0.9973964095115662,0.9982913732528687,0.9995525181293488,4
UCR26a,control,UC1-Health,8.0,i,2.0,0.9323069453239441,0.9323069453239441,0.9323069453239441,1.0,15
UCR26a,control,UC1-Health,9.0,ay,1.0,0.9152530113855998,0.8508710861206055,0.9622905254364014,0.9691054790522513,30
UCR26a,control,UC1-Health,9.0,c,1.0,0.9441367363929749,0.7941011190414429,0.9970553517341614,0.913421071766283,25
UCR26a,control,UC1-Health,9.0,i,3.0,0.8642194271087646,0.8369916081428528,0.9012788534164429,0.9848634160234143,15
UCR26a,control,UC1-Health,10.0,c,1.0,0.9191646734873454,0.8228700757026672,0.9832546710968018,0.9328779312849759,15
